#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	NR_046018	chr1	+	11873	14408	14408	14408	3	11873,12612,13220,	12227,12721,14408,	0	DDX11L1	unk	unk	-1,-1,-1,
585	NR_024540	chr1	-	14361	29370	29370	29370	11	14361,14969,15795,16606,16857,17232,17605,17914,18267,24737,29320,	14829,15038,15947,16765,17055,17368,17742,18061,18366,24891,29370,	0	WASH7P	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
585	NR_026818	chr1	-	34610	36081	36081	36081	3	34610,35276,35720,	35174,35481,36081,	0	FAM138A	unk	unk	-1,-1,-1,
585	NR_026820	chr1	-	34610	36081	36081	36081	3	34610,35276,35720,	35174,35481,36081,	0	FAM138F	unk	unk	-1,-1,-1,
585	NM_001005484	chr1	+	69090	70008	69090	70008	1	69090,	70008,	0	OR4F5	cmpl	cmpl	0,
586	NR_039983	chr1	-	134772	140566	140566	140566	3	134772,139789,140074,	139696,139847,140566,	0	LOC729737	unk	unk	-1,-1,-1,
587	NR_028327	chr1	+	323891	328581	328581	328581	4	323891,324287,324438,327035,	324060,324345,326938,328581,	0	LOC100133331	unk	unk	-1,-1,-1,-1,
587	NR_028325	chr1	+	323891	328581	328581	328581	3	323891,324287,324438,	324060,324345,328581,	0	LOC100132062	unk	unk	-1,-1,-1,
587	NR_028322	chr1	+	323891	328581	328581	328581	3	323891,324287,324438,	324060,324345,328581,	0	LOC100132287	unk	unk	-1,-1,-1,
587	NM_001005221	chr1	+	367658	368597	367658	368597	1	367658,	368597,	0	OR4F29	cmpl	cmpl	0,
587	NM_001005224	chr1	+	367658	368597	367658	368597	1	367658,	368597,	0	OR4F3	cmpl	cmpl	0,
587	NM_001005277	chr1	+	367658	368597	367658	368597	1	367658,	368597,	0	OR4F16	cmpl	cmpl	0,
589	NM_001005221	chr1	-	621095	622034	621095	622034	1	621095,	622034,	0	OR4F29	cmpl	cmpl	0,
589	NM_001005224	chr1	-	621095	622034	621095	622034	1	621095,	622034,	0	OR4F3	cmpl	cmpl	0,
589	NM_001005277	chr1	-	621095	622034	621095	622034	1	621095,	622034,	0	OR4F16	cmpl	cmpl	0,
590	NR_028327	chr1	-	661138	665731	665731	665731	3	661138,665277,665562,	665184,665335,665731,	0	LOC100133331	unk	unk	-1,-1,-1,
590	NR_033908	chr1	-	700244	714068	714068	714068	7	700244,701708,703927,704876,708355,709550,713663,	700627,701767,703993,705092,708487,709660,714068,	0	LOC100288069	unk	unk	-1,-1,-1,-1,-1,-1,-1,
590	NR_024321	chr1	-	761585	762902	762902	762902	1	761585,	762902,	0	LINC00115	unk	unk	-1,
73	NR_015368	chr1	+	763063	789740	789740	789740	7	763063,764382,783033,787306,788050,788770,788956,	763155,764484,783186,787490,788146,788902,789740,	0	LOC643837	unk	unk	-1,-1,-1,-1,-1,-1,-1,
591	NR_027055	chr1	-	803450	812182	812182	812182	3	803450,809491,812125,	804055,810535,812182,	0	FAM41C	unk	unk	-1,-1,-1,
591	NR_026874	chr1	-	852952	854817	854817	854817	4	852952,853401,854204,854714,	853100,853555,854295,854817,	0	LOC100130417	unk	unk	-1,-1,-1,-1,
591	NM_152486	chr1	+	861120	879961	861321	879533	14	861120,861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861180,861393,865716,866469,871276,874509,874840,876686,877631,877868,878438,878757,879188,879961,	0	SAMD11	cmpl	cmpl	-1,0,0,2,2,1,1,1,2,1,2,1,0,0,
591	NM_015658	chr1	-	879582	894679	880073	894620	19	879582,880436,880897,881552,881781,883510,883869,886506,887379,887791,888554,889161,889383,891302,891474,892273,892478,894308,894594,	880180,880526,881033,881666,881925,883612,883983,886618,887519,887980,888668,889272,889462,891393,891595,892405,892653,894461,894679,	0	NOC2L	cmpl	cmpl	1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,2,0,
591	NM_198317	chr1	+	895966	901099	896073	900571	12	895966,896672,897008,897205,897734,898083,898488,898716,899299,899486,899728,900342,	896180,896932,897130,897427,897851,898297,898633,898884,899388,899560,899910,901099,	0	KLHL17	cmpl	cmpl	0,2,1,0,0,0,1,2,2,1,0,2,
591	NM_001160184	chr1	+	901876	910484	901911	909955	15	901876,902083,905656,905900,906065,906258,906456,906703,907454,907667,908240,908879,909212,909695,909821,	901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,909020,909431,909744,910484,	0	PLEKHN1	cmpl	cmpl	0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,
591	NM_032129	chr1	+	901876	910484	901911	909955	16	901876,902083,905656,905900,906065,906258,906492,906703,907454,907667,908240,908565,908879,909212,909695,909821,	901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,908706,909020,909431,909744,910484,	0	PLEKHN1	cmpl	cmpl	0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,
591	NR_027693	chr1	-	910578	917473	917473	917473	5	910578,911878,914260,916516,917444,	911649,912004,916037,916553,917473,	0	C1orf170	unk	unk	-1,-1,-1,-1,-1,
592	NM_021170	chr1	-	934341	935552	934438	935353	4	934341,934905,935071,935245,	934812,934993,935167,935552,	0	HES4	cmpl	cmpl	1,0,0,0,
592	NM_001142467	chr1	-	934343	935552	934438	935353	3	934343,934905,935071,	934812,934993,935552,	0	HES4	cmpl	cmpl	1,0,0,
592	NM_005101	chr1	+	948846	949919	948953	949858	2	948846,949363,	948956,949919,	0	ISG15	cmpl	cmpl	0,0,
592	NM_198576	chr1	+	955502	991499	955552	990361	36	955502,957580,970656,976044,976552,976857,977335,978618,978917,979202,979488,979713,980540,980738,981112,981343,981539,981776,982199,982706,982952,983155,983391,984246,984615,984945,985282,985612,985806,986105,986632,986832,987107,989132,989827,990203,	955753,957842,970704,976260,976777,977082,977542,978837,979112,979403,979637,979819,980657,980903,981256,981468,981645,982115,982337,982834,983067,983275,983745,984439,984831,985175,985417,985709,985971,986217,986749,987025,987195,989357,989931,991499,	0	AGRN	cmpl	cmpl	0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,2,2,1,1,2,2,0,0,1,2,2,1,
