0:355:[11873,12227]
1:110:[12612,12721]
2:1189:[13220,14408]
3:469:[14361,14829]
4:70:[14969,15038]
5:153:[15795,15947]
6:160:[16606,16765]
7:199:[16857,17055]
8:137:[17232,17368]
9:138:[17605,17742]
10:148:[17914,18061]
11:100:[18267,18366]
12:155:[24737,24891]
13:51:[29320,29370]
14:565:[34610,35174]
15:206:[35276,35481]
16:362:[35720,36081]
14:565:[34610,35174]
15:206:[35276,35481]
16:362:[35720,36081]
17:919:[69090,70008]
18:4925:[134772,139696]
19:59:[139789,139847]
20:493:[140074,140566]
21:170:[323891,324060]
22:59:[324287,324345]
23:2501:[324438,326938]
24:1547:[327035,328581]
21:170:[323891,324060]
22:59:[324287,324345]
25:4144:[324438,328581]
21:170:[323891,324060]
22:59:[324287,324345]
25:4144:[324438,328581]
26:940:[367658,368597]
26:940:[367658,368597]
26:940:[367658,368597]
27:940:[621095,622034]
27:940:[621095,622034]
27:940:[621095,622034]
28:4047:[661138,665184]
29:59:[665277,665335]
30:170:[665562,665731]
31:384:[700244,700627]
32:60:[701708,701767]
33:67:[703927,703993]
34:217:[704876,705092]
35:133:[708355,708487]
36:111:[709550,709660]
37:406:[713663,714068]
38:1318:[761585,762902]
39:93:[763063,763155]
40:103:[764382,764484]
41:154:[783033,783186]
42:185:[787306,787490]
43:97:[788050,788146]
44:133:[788770,788902]
45:785:[788956,789740]
46:606:[803450,804055]
47:1045:[809491,810535]
48:58:[812125,812182]
49:149:[852952,853100]
50:155:[853401,853555]
51:92:[854204,854295]
52:104:[854714,854817]
53:61:[861120,861180]
54:93:[861301,861393]
55:183:[865534,865716]
56:52:[866418,866469]
57:126:[871151,871276]
58:91:[874419,874509]
59:187:[874654,874840]
60:164:[876523,876686]
61:117:[877515,877631]
62:80:[877789,877868]
63:501:[877938,878438]
64:126:[878632,878757]
65:112:[879077,879188]
66:675:[879287,879961]
67:599:[879582,880180]
68:91:[880436,880526]
69:137:[880897,881033]
70:115:[881552,881666]
71:145:[881781,881925]
72:103:[883510,883612]
73:115:[883869,883983]
74:113:[886506,886618]
75:141:[887379,887519]
76:190:[887791,887980]
77:115:[888554,888668]
78:112:[889161,889272]
79:80:[889383,889462]
80:92:[891302,891393]
81:122:[891474,891595]
82:133:[892273,892405]
83:176:[892478,892653]
84:154:[894308,894461]
85:86:[894594,894679]
86:215:[895966,896180]
87:261:[896672,896932]
88:123:[897008,897130]
89:223:[897205,897427]
90:118:[897734,897851]
91:215:[898083,898297]
92:146:[898488,898633]
93:169:[898716,898884]
94:90:[899299,899388]
95:75:[899486,899560]
96:183:[899728,899910]
97:758:[900342,901099]
98:119:[901876,901994]
99:101:[902083,902183]
100:148:[905656,905803]
101:82:[905900,905981]
102:74:[906065,906138]
103:129:[906258,906386]
104:133:[906456,906588]
105:82:[906703,906784]
106:77:[907454,907530]
107:138:[907667,907804]
108:151:[908240,908390]
109:142:[908879,909020]
110:220:[909212,909431]
111:50:[909695,909744]
112:664:[909821,910484]
98:119:[901876,901994]
99:101:[902083,902183]
100:148:[905656,905803]
101:82:[905900,905981]
102:74:[906065,906138]
103:129:[906258,906386]
113:97:[906492,906588]
105:82:[906703,906784]
106:77:[907454,907530]
107:138:[907667,907804]
108:151:[908240,908390]
114:142:[908565,908706]
109:142:[908879,909020]
110:220:[909212,909431]
111:50:[909695,909744]
112:664:[909821,910484]
115:1072:[910578,911649]
